provider,geography,region,location,latitude,longitude,instance_type,hourly_cost_usd,compute_capability,gpu_power_watts,electricity_price_kwh
"Azure","Australia","Australia Central","Canberra","-35.2809","149.13","RTX-4090","1.614","88","450","0.26"
"Azure","Australia","Australia Central","Canberra","-35.2809","149.13","A100-80GB","3.209","95","400","0.26"
"Azure","Australia","Australia Central","Canberra","-35.2809","149.13","RTX-3080","0.971","78","320","0.26"
"Azure","Australia","Australia Central","Canberra","-35.2809","149.13","MI250X-128GB","4.724","92","560","0.26"
"Azure","Australia","Australia East","New South Wales","40","-95","T4-16GB","0.775","60","70","0.26"
"Azure","Australia","Australia East","New South Wales","40","-95","V100-32GB","2.729","80","300","0.26"
"Azure","Australia","Australia East","New South Wales","40","-95","A100-40GB","3.235","90","350","0.26"
"Azure","Australia","Australia East","New South Wales","40","-95","RTX-3090","1.479","82","350","0.26"
"Azure","Australia","Australia East","New South Wales","40","-95","L4-24GB","1.012","65","72","0.26"
"Azure","Australia","Australia Southeast","Victoria","40","-95","T4-16GB","0.918","60","70","0.26"
"Azure","Australia","Australia Southeast","Victoria","40","-95","V100-16GB","2.047","75","250","0.26"
"Azure","Australia","Australia Southeast","Victoria","40","-95","K80-12GB","0.605","45","300","0.26"
"Azure","Australia","Australia Southeast","Victoria","40","-95","P40-24GB","1.453","70","250","0.26"
"Azure","Australia","Australia Southeast","Victoria","40","-95","L4-24GB","0.958","65","72","0.26"
"Azure","Brazil","Brazil South","Sao Paulo State","-23.5505","-46.6333","K80-12GB","0.735","45","300","0.18"
"Azure","Brazil","Brazil South","Sao Paulo State","-23.5505","-46.6333","L4-24GB","0.984","65","72","0.18"
"Azure","Brazil","Brazil South","Sao Paulo State","-23.5505","-46.6333","A100-40GB","2.865","90","350","0.18"
"Azure","Brazil","Brazil South","Sao Paulo State","-23.5505","-46.6333","V100-32GB","2.663","80","300","0.18"
"Azure","Brazil","Brazil South","Sao Paulo State","-23.5505","-46.6333","A100-80GB","3.476","95","400","0.18"
"Azure","Canada","Canada Central","Toronto","43.6532","-79.3832","H100-80GB","5.550","100","450","0.14"
"Azure","Canada","Canada Central","Toronto","43.6532","-79.3832","L4-24GB","1.059","65","72","0.14"
"Azure","Canada","Canada Central","Toronto","43.6532","-79.3832","RTX-3090","1.278","82","350","0.14"
